sentiment_magnitude,financial_event_type,outlook_type,stock_market_reaction,supply_chain_impact,company_volatility,overall_sentiment_score
0.85,Earnings Report,Negative,Positive Reaction,Supply Chain Neutral/No Impact,Increased Volatility,-0.75
0.35,General News,Negative,No Reaction Mentioned,Supply Chain Negative,Increased Volatility,-0.6
0.9,Analyst Note,Negative,Negative Reaction,Supply Chain Neutral/No Impact,Increased Volatility,-0.75
0.85,General News,Negative,Negative Reaction,Supply Chain Neutral/No Impact,Increased Volatility,-0.85
0.88,Analyst Note,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Increased Volatility,0.7
0.85,General News,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Decreased Volatility,0.65
0.85,Earnings Report,Positive,Positive Reaction,Supply Chain Negative,Stable Volatility,0.85
0.9,General News,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Decreased Volatility,0.85
0.85,General News,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Decreased Volatility,0.7
0.9,Product Launch,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,0.85
0.95,Earnings Report,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Increased Volatility,0.85
0.9,Earnings Report,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Increased Volatility,0.95
0.9,Product Launch,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,0.82
0.9,Product Launch,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.85
0.9,Product Launch,Positive,No Reaction Mentioned,Supply Chain Negative,Stable Volatility,0.8
0.25,Earnings Report,Negative,Negative Reaction,Supply Chain Neutral/No Impact,Increased Volatility,-0.2
0.75,General News,Positive,Positive Reaction,Supply Chain Negative,Increased Volatility,0.35
0.85,Merger/Acquisition,Positive,No Reaction Mentioned,Supply Chain Positive,Decreased Volatility,0.75
0.7,Earnings Report,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Decreased Volatility,0.4
0.5,General News,Neutral,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,0.3
0.85,General News,Negative,Negative Reaction,Supply Chain Negative,Decreased Volatility,-0.75
0.9,Product Launch,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,0.95
0.8,General News,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.2
0.65,Regulatory,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,-0.6
0.6,General News,Neutral,Positive Reaction,Supply Chain Neutral/No Impact,Increased Volatility,0.35
0.9,Earnings Report,Positive,Positive Reaction,Supply Chain Positive,Increased Volatility,0.85
0.9,Earnings Report,Negative,Negative Reaction,Supply Chain Neutral/No Impact,Increased Volatility,-0.75
0.85,General News,Negative,No Reaction Mentioned,Supply Chain Negative,Stable Volatility,-0.25
0.85,General News,Positive,No Reaction Mentioned,Supply Chain Positive,Decreased Volatility,0.85
0.75,General News,Positive,No Reaction Mentioned,Supply Chain Positive,Stable Volatility,0.7
0.8,General News,Negative,No Reaction Mentioned,Supply Chain Negative,Increased Volatility,-0.25
0.95,General News,Negative,No Reaction Mentioned,Supply Chain Negative,Increased Volatility,-0.75
0.9,General News,Negative,No Reaction Mentioned,Supply Chain Negative,Increased Volatility,-0.8
0.9,General News,Negative,No Reaction Mentioned,Supply Chain Negative,Increased Volatility,-0.8
0.85,General News,Negative,No Reaction Mentioned,Supply Chain Negative,Increased Volatility,-0.8
0.25,General News,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.7
0.7,General News,Negative,No Reaction Mentioned,Supply Chain Negative,Increased Volatility,-0.2
0.9,General News,Negative,Negative Reaction,Supply Chain Negative,Increased Volatility,-0.85
0.95,General News,Positive,No Reaction Mentioned,Supply Chain Positive,Increased Volatility,0.83
0.95,General News,Positive,No Reaction Mentioned,Supply Chain Positive,Decreased Volatility,0.95
0.9,General News,Positive,No Reaction Mentioned,Supply Chain Positive,Stable Volatility,0.9
0.9,Product Launch,Positive,No Reaction Mentioned,Supply Chain Positive,Stable Volatility,0.85
0.25,General News,Negative,No Reaction Mentioned,Supply Chain Negative,Increased Volatility,-0.75
0.9,General News,Positive,No Reaction Mentioned,Supply Chain Positive,Decreased Volatility,0.92
0.9,General News,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Decreased Volatility,0.85
0.9,General News,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,0.85
0.9,General News,Negative,Negative Reaction,Supply Chain Negative,Increased Volatility,-0.95
0.8,General News,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,-0.2
0.25,General News,Neutral,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,-0.4
0.6,General News,Neutral,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,0.35
0.65,General News,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,0.4
0.85,General News,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,0.65
0.6,Merger/Acquisition,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.4
0.65,Merger/Acquisition,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Decreased Volatility,-0.25
0.35,Merger/Acquisition,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.65
0.85,Merger/Acquisition,Negative,No Reaction Mentioned,Supply Chain Positive,Decreased Volatility,0.35
0.9,Merger/Acquisition,Positive,No Reaction Mentioned,Supply Chain Positive,Stable Volatility,0.85
0.78,Product Launch,Negative,No Reaction Mentioned,Supply Chain Negative,Stable Volatility,-0.35
0.3,General News,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,-0.5
0.9,General News,Positive,No Reaction Mentioned,Supply Chain Positive,Decreased Volatility,0.85
0.55,General News,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,0.25
0.9,General News,Negative,No Reaction Mentioned,Supply Chain Negative,Increased Volatility,-0.75
0.9,Merger/Acquisition,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.9
0.65,General News,Negative,Negative Reaction,Supply Chain Neutral/No Impact,Increased Volatility,-0.35
0.9,General News,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.85
0.85,Earnings Report,Positive,No Reaction Mentioned,Supply Chain Negative,Increased Volatility,0.75
0.8,General News,Positive,No Reaction Mentioned,Supply Chain Positive,Decreased Volatility,0.75
0.85,General News,Positive,No Reaction Mentioned,Supply Chain Positive,Increased Volatility,0.75
0.85,Earnings Report,Negative,No Reaction Mentioned,Supply Chain Negative,Increased Volatility,-0.85
0.85,Earnings Report,Positive,No Reaction Mentioned,Supply Chain Positive,Increased Volatility,0.75
0.85,Earnings Report,Positive,No Reaction Mentioned,Supply Chain Positive,Decreased Volatility,0.65
0.9,General News,Positive,No Reaction Mentioned,Supply Chain Positive,Stable Volatility,0.6
0.95,General News,Negative,No Reaction Mentioned,Supply Chain Negative,Increased Volatility,-0.85
0.85,General News,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.8
0.85,Earnings Report,Negative,No Reaction Mentioned,Supply Chain Negative,Increased Volatility,-0.65
0.85,General News,Negative,No Reaction Mentioned,Supply Chain Negative,Increased Volatility,-0.6
0.3,General News,Neutral,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,-0.1
0.5,General News,Neutral,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,0.15
0.85,General News,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Stable Volatility,0.75
0.7,General News,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.4
0.6,General News,Neutral,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.3
0.85,General News,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,0.75
0.1,General News,Neutral,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,0.2
0.75,Earnings Report,Negative,Negative Reaction,Supply Chain Negative,Increased Volatility,-0.3
0.9,Regulatory,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Decreased Volatility,0.85
0.85,General News,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Decreased Volatility,0.82
0.9,General News,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Increased Volatility,0.82
0.85,General News,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Decreased Volatility,0.75
0.9,General News,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Decreased Volatility,0.75
0.9,Product Launch,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,0.85
0.7,Regulatory,Negative,Positive Reaction,Supply Chain Neutral/No Impact,Increased Volatility,-0.65
0.9,Regulatory,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.75
0.85,Regulatory,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.85
0.9,General News,Negative,Negative Reaction,Supply Chain Negative,Increased Volatility,-0.65
0.75,Regulatory,Negative,Positive Reaction,Supply Chain Neutral/No Impact,Increased Volatility,-0.6
0.85,Regulatory,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.3
0.75,General News,Neutral,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.2
0.35,Product Launch,Neutral,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.15
0.9,Earnings Report,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Decreased Volatility,0.95
0.7,Earnings Report,Negative,Negative Reaction,Supply Chain Neutral/No Impact,Increased Volatility,-0.25
0.9,Earnings Report,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,0.92
0.95,Earnings Report,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.85
0.85,Earnings Report,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,0.75
0.8,Earnings Report,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Decreased Volatility,0.65
0.85,Earnings Report,Positive,No Reaction Mentioned,Supply Chain Positive,Decreased Volatility,0.75
0.95,Earnings Report,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Decreased Volatility,0.92
0.85,Merger/Acquisition,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Decreased Volatility,0.75
0.82,Merger/Acquisition,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Decreased Volatility,0.6
0.9,Merger/Acquisition,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Stable Volatility,0.92
0.85,Merger/Acquisition,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Increased Volatility,0.75
0.7,Merger/Acquisition,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,0.2
0.85,Merger/Acquisition,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,0.85
0.85,Merger/Acquisition,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.3
0.85,General News,Neutral,No Reaction Mentioned,Supply Chain Positive,Increased Volatility,0.4
0.75,Merger/Acquisition,Negative,No Reaction Mentioned,Supply Chain Negative,Increased Volatility,-0.4
0.7,Merger/Acquisition,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.3
0.7,Merger/Acquisition,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Increased Volatility,0.4
0.85,Merger/Acquisition,Negative,No Reaction Mentioned,Supply Chain Negative,Increased Volatility,-0.85
0.85,Merger/Acquisition,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,0.75
0.9,Merger/Acquisition,Positive,No Reaction Mentioned,Supply Chain Positive,Decreased Volatility,0.85
0.5,Merger/Acquisition,Neutral,No Reaction Mentioned,Supply Chain Positive,Increased Volatility,-0.4
0.9,Merger/Acquisition,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Decreased Volatility,0.85
0.8,Merger/Acquisition,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,0.4
0.85,Merger/Acquisition,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,0.85
0.85,Merger/Acquisition,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,0.75
0.85,Merger/Acquisition,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,0.85
0.9,Merger/Acquisition,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Decreased Volatility,0.85
0.9,Merger/Acquisition,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,0.9
0.9,General News,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.9
0.95,General News,Negative,Negative Reaction,Supply Chain Neutral/No Impact,Increased Volatility,-0.7
0.85,Merger/Acquisition,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Increased Volatility,0.35
0.85,Merger/Acquisition,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.8
0.85,Regulatory,Negative,No Reaction Mentioned,Supply Chain Negative,Increased Volatility,-0.85
0.85,Merger/Acquisition,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.6
0.7,Merger/Acquisition,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.8
0.9,General News,Negative,Negative Reaction,Supply Chain Neutral/No Impact,Increased Volatility,-0.75
0.9,General News,Negative,Negative Reaction,Supply Chain Neutral/No Impact,Increased Volatility,-0.6
0.85,Merger/Acquisition,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.85
0.9,Merger/Acquisition,Negative,Negative Reaction,Supply Chain Neutral/No Impact,Increased Volatility,-0.9
0.9,Merger/Acquisition,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.85
0.85,Merger/Acquisition,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.9
0.4,Merger/Acquisition,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.45
0.85,Merger/Acquisition,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.85
0.8,Merger/Acquisition,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.4
0.75,General News,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.35
0.85,Merger/Acquisition,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.8
0.95,Merger/Acquisition,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.85
0.9,Product Launch,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,0.95
0.9,Product Launch,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,0.95
0.9,General News,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Decreased Volatility,0.85
0.7,Product Launch,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,0.75
0.75,Product Launch,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,0.2
0.9,Product Launch,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,0.9
0.45,Product Launch,Neutral,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.25
0.9,Product Launch,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,0.3
0.95,Product Launch,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,0.9
0.85,Product Launch,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,0.85
0.85,Product Launch,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Decreased Volatility,0.85
0.35,Analyst Note,Negative,Negative Reaction,Supply Chain Neutral/No Impact,Increased Volatility,-0.55
0.85,Analyst Note,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.75
0.85,Analyst Note,Negative,Negative Reaction,Supply Chain Neutral/No Impact,Increased Volatility,-0.65
0.85,Analyst Note,Negative,Negative Reaction,Supply Chain Negative,Increased Volatility,-0.85
0.7,Analyst Note,Negative,Negative Reaction,Supply Chain Neutral/No Impact,Increased Volatility,-0.6
0.25,Regulatory,Negative,No Reaction Mentioned,Supply Chain Positive,Increased Volatility,0.2
0.9,Analyst Note,Positive,Positive Reaction,Supply Chain Positive,Decreased Volatility,0.85
0.9,Analyst Note,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Decreased Volatility,0.65
0.5,Earnings Report,Neutral,Positive Reaction,Supply Chain Neutral/No Impact,Increased Volatility,-0.35
0.9,Analyst Note,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Increased Volatility,0.75
0.9,Analyst Note,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Decreased Volatility,0.9
0.9,General News,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Decreased Volatility,0.95
0.85,Analyst Note,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Decreased Volatility,0.95
0.95,Analyst Note,Positive,No Reaction Mentioned,Supply Chain Positive,Decreased Volatility,0.95
0.9,Analyst Note,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,0.9
0.85,Analyst Note,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,0.75
0.85,Analyst Note,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,0.75
0.9,Analyst Note,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Increased Volatility,0.95
0.9,Analyst Note,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Decreased Volatility,0.95
0.65,Analyst Note,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,-0.35
0.88,Analyst Note,Positive,No Reaction Mentioned,Supply Chain Positive,Decreased Volatility,0.85
0.85,Analyst Note,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Increased Volatility,0.95
0.9,Analyst Note,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Increased Volatility,0.85
0.9,Analyst Note,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Decreased Volatility,0.9
0.9,Analyst Note,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Decreased Volatility,0.88
0.9,Analyst Note,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Decreased Volatility,0.85
0.6,Analyst Note,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.25
0.4,Analyst Note,Negative,Positive Reaction,Supply Chain Neutral/No Impact,Stable Volatility,-0.7
0.35,Analyst Note,Negative,Negative Reaction,Supply Chain Neutral/No Impact,Increased Volatility,-0.25
0.8,Analyst Note,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.65
0.55,Analyst Note,Neutral,No Reaction Mentioned,Supply Chain Positive,Stable Volatility,0.42
0.9,Analyst Note,Negative,No Reaction Mentioned,Supply Chain Negative,Increased Volatility,-0.85
0.4,Analyst Note,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.05
0.8,Analyst Note,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.65
0.65,Analyst Note,Neutral,No Reaction Mentioned,Supply Chain Neutral/No Impact,Decreased Volatility,-0.25
0.85,Analyst Note,Negative,Negative Reaction,Supply Chain Neutral/No Impact,Increased Volatility,-0.7
0.85,Analyst Note,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.7
0.85,Analyst Note,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.75
0.8,Analyst Note,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,-0.21
0.9,Analyst Note,Negative,Negative Reaction,Supply Chain Neutral/No Impact,Increased Volatility,-0.75
0.85,Regulatory,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.3
0.75,Regulatory,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.5
0.9,Regulatory,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-1.0
0.7,Regulatory,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.7
0.75,Regulatory,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.7
0.7,Regulatory,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.75
0.1,Regulatory,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.75
0.8,Regulatory,Negative,Negative Reaction,Supply Chain Neutral/No Impact,Increased Volatility,-0.75
0.95,Regulatory,Negative,No Reaction Mentioned,Supply Chain Negative,Increased Volatility,-0.95
0.9,Regulatory,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.95
0.85,Regulatory,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.6
0.8,Regulatory,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.75
0.85,Regulatory,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.7
0.85,Regulatory,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.75
0.45,Regulatory,Neutral,No Reaction Mentioned,Supply Chain Neutral/No Impact,Decreased Volatility,-0.65
0.25,Regulatory,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.8
0.85,Regulatory,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.65
0.9,Regulatory,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.8
0.9,Product Launch,Positive,No Reaction Mentioned,Supply Chain Positive,Decreased Volatility,0.85
0.9,Regulatory,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Increased Volatility,0.85
0.85,Regulatory,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Stable Volatility,0.8
0.8,Product Launch,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,0.75
0.95,Regulatory,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,0.95
0.8,Regulatory,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Decreased Volatility,0.65
0.85,Regulatory,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,0.82
0.9,Product Launch,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Decreased Volatility,0.95
0.95,Product Launch,Positive,No Reaction Mentioned,Supply Chain Positive,Decreased Volatility,0.9
0.9,Regulatory,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.75
0.9,Regulatory,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.85
0.85,Regulatory,Negative,Negative Reaction,Supply Chain Neutral/No Impact,Increased Volatility,-0.75
0.85,Regulatory,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.8
0.9,Regulatory,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.8
0.85,Regulatory,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.7
0.15,Regulatory,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.55
0.85,Regulatory,Negative,No Reaction Mentioned,Supply Chain Negative,Increased Volatility,-0.4
